id,title,description,type,release_year,genres,production_countries,Netflix Link,TMDb Trailer,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,type_netflix
ts77474,Mr. Sunshine,"Set in the early 1900s, this drama tells the story of a young man from Korea who grows up in the United States. When he returns to Korea as a US Marine Corps officer, he meets and falls in love with a noblewoman who is fighting for Korean independence. Their romance is complicated by social class and political ideology.",SHOW,2018,"drama, action, history, romance, war",KR,https://www.netflix.com/watch/80991107,https://www.youtube.com/watch?v=rPJSo4fhtRU,76,8.7,6855.0,16.097,8.516,1
tm244307,Bright,"In an alternate present-day where magical creatures live among us, two L.A. cops become embroiled in a prophesied turf battle.",MOVIE,2017,"thriller, fantasy, action, crime, scifi",US,https://www.netflix.com/watch/80119234,https://www.youtube.com/watch?v=6EZCBSsBxko,117,6.3,183841.0,36.593,6.2,0
tm298846,The Incredible Jessica James,"Burned by a bad breakup, a struggling New York City playwright makes an unlikely connection with a divorced app designer she meets on a blind date.",MOVIE,2017,comedy,US,https://www.netflix.com/watch/80171022,https://www.youtube.com/watch?v=zEkYAzSpHnA,83,6.5,7496.0,9.638,6.2,0
tm412623,The Kissing Booth,"When teenager Elle's first kiss leads to a forbidden romance with the hottest boy in high school, she risks her relationship with her best friend.",MOVIE,2018,"romance, comedy",GB,https://www.netflix.com/watch/80143556,https://www.youtube.com/watch?v=7bfS6seiLhk,105,5.9,81639.0,77.096,7.3,0
tm298339,Handsome Devil,A music-mad 16-year-old outcast at a rugby-mad boarding school forms an unlikely friendship with his dashing new roommate.,MOVIE,2017,"drama, comedy, sport, european",IE,https://www.netflix.com/watch/80151962,https://www.youtube.com/watch?v=O8DbQTjzMKs,95,7.0,13708.0,12.021,7.1,0
tm245176,Sand Castle,"Set during the occupation of Iraq, a squad of U.S. soldiers try to protect a small village.",MOVIE,2017,"drama, action, war","IQ, GB",https://www.netflix.com/watch/80118916,https://www.youtube.com/watch?v=8hq28cZ938E,113,6.3,22854.0,27.077,6.5,0
ts78298,My Mister,"In a world that is less than kind, a young woman and a middle-aged man develop a sense of kinship as they find warmth and comfort in one another.",SHOW,2018,"drama, family",KR,https://www.netflix.com/watch/81267691,https://www.youtube.com/watch?v=yGOkLD_dTLo,79,9.2,5481.0,13.025,8.9,1
ts83251,Magic for Humans,"From baffling people on the street to orchestrating elaborate tricks, Justin Willman blends good-natured magic with grown-up laughs.",SHOW,2018,"comedy, reality",US,https://www.netflix.com/watch/80190510,https://www.youtube.com/watch?v=pvFqi-YFWe8,24,7.1,3316.0,6.964,6.7,1
tm321224,"Game Over, Man!",Three friends are on the verge of getting their video game financed when their benefactor is taken hostage by terrorists.,MOVIE,2018,"comedy, action",US,https://www.netflix.com/watch/80169617,https://www.youtube.com/watch?v=u7ZHi_dDSnQ,100,5.4,29773.0,14.358,5.5,0
tm359978,Forgotten,"Seoul, South Korea, 1997. When the young but extremely anxious student Jin-seok, his parents and his successful older brother Yoo-seok move to a new home, mysterious and frightening events begin to happen around them, unexplained events that threaten to ruin their seemingly happy lives. Unable to understand what is happening, Jin-seok wonders if he is losing his mind.",MOVIE,2017,"thriller, horror, crime, scifi",KR,https://www.netflix.com/watch/80223050,https://vimeo.com/254449964,109,7.4,29804.0,33.53,8.0,0
tm306301,Piercing,"After kissing his wife and baby goodbye for a seemingly normal business trip, Reed checks himself into a hotel room to accomplish something he’s always dreamed of: the perfect murder. As his sinister plans unfold, he soon realizes he might be in over his head with a mysteriously unhinged call girl named Jackie.",MOVIE,2018,"thriller, horror","FR, US",https://www.netflix.com/watch/81003068,https://www.youtube.com/watch?v=cPqMhO165fg,82,5.5,7534.0,8.611,5.8,0
ts57947,Unit 42,"The investigations of two police officers from The Brussels Digital Unit, a unit specializing in cybercrime.",SHOW,2017,"crime, thriller, drama, european",BE,https://www.netflix.com/watch/81027195,https://www.youtube.com/watch?v=pSyJ8cl0ZLQ,48,7.0,2311.0,9.078,6.6,1
ts53936,Innocent,"In a peaceful, rustic town, a retired officer and his family are mired in a murder mystery riddled with shocking, buried secrets.",SHOW,2017,"drama, crime",TR,https://www.netflix.com/watch/81026192,https://www.youtube.com/watch?v=dRnbL_nMjJs,51,8.4,17727.0,7.297,8.1,1
ts83763,Black Earth Rising,"As a child, Kate Ashby was rescued from the horrific aftermath of the Rwandan genocide and brought to the UK. But the tragic shadow of her past proves impossible to escape.",SHOW,2018,"crime, thriller",GB,https://www.netflix.com/watch/80145141,https://www.youtube.com/watch?v=ugxQuVPmVZU,59,7.4,4790.0,5.831,7.1,1
tm298084,On Body and Soul,"Two introverted people find out by pure chance that they share the same dream every night. They are puzzled, incredulous, a bit frightened. As they hesitantly accept this strange coincidence, they try to recreate in broad daylight what happens in their dream.",MOVIE,2017,"fantasy, drama, romance",HU,https://www.netflix.com/watch/80177414,https://www.youtube.com/watch?v=jK5tIkuTKbA,116,7.5,27003.0,7.285,7.2,0
tm244148,Mowgli: Legend of the Jungle,"A human child raised by wolves, must face off against a menacing tiger named Shere Khan, as well as his own origins.",MOVIE,2018,"drama, fantasy","GB, US",https://www.netflix.com/watch/80993105,https://www.youtube.com/watch?v=OVBjPpUlQrE,105,6.5,60870.0,24.646,6.5,0
